티커,BPS,PER,PBR,EPS,DIV,DPS,s_date
095570,8076,21.44,0.53,201,6.26,270,2023-07-13
006840,41948,0.0,0.48,0,1.0,200,2023-07-13
027410,16528,14.98,0.22,247,2.97,110,2023-07-13
282330,55724,15.61,3.14,11203,2.34,4100,2023-07-13
138930,30468,2.8,0.22,2404,9.29,625,2023-07-13
001460,825735,9.72,0.5,42272,0.73,3000,2023-07-13
001465,0,0.0,0.0,0,2.13,3050,2023-07-13
001040,191537,10.23,0.32,6023,4.06,2500,2023-07-13
079160,7886,0.0,1.17,0,0.0,0,2023-07-13
00104K,0,0.0,0.0,0,4.75,2550,2023-07-13
000120,179031,8.8,0.4,8190,0.69,500,2023-07-13
011150,2107,16.12,1.57,205,0.0,0,2023-07-13
011155,0,0.0,0.0,0,0.0,0,2023-07-13
001045,0,0.0,0.0,0,5.9,2550,2023-07-13
097950,459670,7.45,0.6,37188,1.99,5500,2023-07-13
097955,0,0.0,0.0,0,4.21,5550,2023-07-13
000590,242997,4.83,0.25,12700,0.81,500,2023-07-13
012030,1492,72.67,1.46,30,0.0,0,2023-07-13
016610,22203,0.0,0.18,0,4.25,170,2023-07-13
005830,89508,4.42,0.81,16373,6.36,4600,2023-07-13
000990,37784,4.72,1.61,12858,2.14,1300,2023-07-13
000995,0,0.0,0.0,0,6.12,1350,2023-07-13
139130,31812,3.23,0.23,2266,8.87,650,2023-07-13
001530,31182,7.67,0.69,2803,1.16,250,2023-07-13
000210,194062,14.15,0.2,2679,2.64,1000,2023-07-13
001880,45294,5.37,0.29,2445,1.9,250,2023-07-13
000215,0,0.0,0.0,0,4.62,1050,2023-07-13
375500,114397,3.11,0.28,10130,3.17,1000,2023-07-13
37550L,0,0.0,0.0,0,4.42,1000,2023-07-13
37550K,0,0.0,0.0,0,5.36,1050,2023-07-13
007340,101507,4.65,0.96,20987,2.56,2500,2023-07-13
004840,18971,67.5,0.28,80,0.74,40,2023-07-13
155660,12480,3.28,0.4,1502,1.22,60,2023-07-13
069730,12715,2.37,0.37,2009,1.26,60,2023-07-13
017940,249560,2.05,0.2,24536,7.17,3600,2023-07-13
383220,24159,10.15,4.86,11571,1.36,1600,2023-07-13
007700,52493,5.76,0.37,3384,1.79,350,2023-07-13
114090,6183,0.0,2.33,0,0.0,0,2023-07-13
078930,133899,1.64,0.28,22634,6.75,2500,2023-07-13
006360,56917,3.57,0.25,3997,9.12,1300,2023-07-13
001250,4813,3.24,0.57,851,0.0,0,2023-07-13
007070,39627,55.44,0.55,395,1.96,430,2023-07-13
078935,0,0.0,0.0,0,7.51,2550,2023-07-13
012630,44094,0.0,0.14,0,4.08,250,2023-07-13
039570,11339,15.3,0.73,538,5.47,450,2023-07-13
089470,10618,11.06,0.41,398,2.73,120,2023-07-13
294870,43919,14.16,0.25,764,5.55,600,2023-07-13
009540,137382,0.0,0.94,0,0.0,0,2023-07-13
267250,105921,2.98,0.56,19933,7.73,4600,2023-07-13
267270,80387,13.73,1.04,6112,2.09,1750,2023-07-13
322000,34065,7.14,1.13,5412,1.55,600,2023-07-13
042670,8273,10.25,1.44,1163,2.01,240,2023-07-13
267260,22854,15.35,3.03,4514,0.72,500,2023-07-13
329180,59566,0.0,2.44,0,0.0,0,2023-07-13
097230,4624,0.0,1.0,0,0.0,0,2023-07-13
014790,11284,8.6,0.23,300,0.0,0,2023-07-13
003580,1507,0.0,3.04,0,0.0,0,2023-07-13
204320,45998,24.57,1.12,2096,0.97,500,2023-07-13
060980,102608,112.1,0.34,314,5.68,2000,2023-07-13
011200,42300,0.94,0.46,20556,6.23,1200,2023-07-13
082740,3099,0.0,3.9,0,0.0,0,2023-07-13
003560,303,0.0,0.79,0,0.0,0,2023-07-13
175330,23551,2.73,0.35,2996,10.2,835,2023-07-13
234080,9063,14.03,1.5,966,3.69,500,2023-07-13
001060,10660,22.88,2.86,1331,1.23,375,2023-07-13
001067,0,0.0,0.0,0,0.63,375,2023-07-13
001065,0,0.0,0.0,0,1.23,400,2023-07-13
096760,1513,11.12,2.3,313,2.87,100,2023-07-13
105560,124124,4.3,0.38,10955,6.26,2950,2023-07-13
002380,695902,46.01,0.3,4564,3.81,8000,2023-07-13
344820,90484,7.43,0.48,5894,5.48,2400,2023-07-13
009070,8350,4.74,0.5,879,1.44,60,2023-07-13
009440,7463,0.0,0.49,0,1.37,50,2023-07-13
119650,1562,0.0,1.44,0,0.0,0,2023-07-13
092220,1912,13.59,0.99,140,3.15,60,2023-07-13
003620,5846,0.0,1.47,0,0.0,0,2023-07-13
016380,16907,1.66,0.53,5357,1.69,150,2023-07-13
001390,57371,2.16,0.88,23384,0.99,500,2023-07-13
033180,2771,0.0,0.16,0,0.0,0,2023-07-13
001940,75645,3.13,0.24,5760,3.33,600,2023-07-13
025000,122776,7.66,0.38,6015,5.97,2750,2023-07-13
092230,210854,22.23,0.24,2267,5.95,3000,2023-07-13
000040,345,0.0,1.59,0,0.0,0,2023-07-13
044450,17995,4.6,0.52,2016,3.78,350,2023-07-13
030200,64880,5.7,0.46,5209,6.6,1960,2023-07-13
033780,80114,9.74,1.03,8489,6.05,5000,2023-07-13
058850,4834,7.81,0.7,436,3.52,120,2023-07-13
058860,6434,6.23,0.48,501,3.85,120,2023-07-13
093050,51612,2.84,0.29,5351,4.61,700,2023-07-13
003550,164082,6.86,0.52,12422,3.52,3000,2023-07-13
034220,27611,0.0,0.55,0,0.0,0,2023-07-13
051900,364213,32.67,1.27,14112,0.87,4000,2023-07-13
051905,0,0.0,0.0,0,2.2,4050,2023-07-13
373220,80052,163.94,6.77,3306,0.0,0,2023-07-13
003555,0,0.0,0.0,0,4.68,3050,2023-07-13
032640,18996,6.93,0.56,1543,6.08,650,2023-07-13
011070,180261,7.08,1.63,41406,1.42,4150,2023-07-13
066570,116599,18.28,1.04,6640,0.58,700,2023-07-13
066575,0,0.0,0.0,0,1.4,750,2023-07-13
037560,8077,0.0,0.55,0,2.71,120,2023-07-13
051910,445524,28.31,1.5,23670,1.49,10000,2023-07-13
051915,0,0.0,0.0,0,2.73,10050,2023-07-13
079550,42909,15.44,2.03,5641,1.72,1500,2023-07-13
006260,144965,5.64,0.63,16306,1.69,1550,2023-07-13
010120,52919,29.83,1.73,3077,1.2,1100,2023-07-13
000680,7510,0.0,0.37,0,0.0,0,2023-07-13
229640,4898,0.0,1.41,0,3.61,250,2023-07-13
108320,58432,8.51,2.09,14368,3.68,4500,2023-07-13
001120,62867,2.48,0.57,14325,8.44,3000,2023-07-13
108670,87146,0.0,0.53,0,0.43,200,2023-07-13
108675,0,0.0,0.0,0,1.25,250,2023-07-13
383800,21133,3.62,0.38,2190,3.91,310,2023-07-13
38380K,0,0.0,0.0,0,3.2,320,2023-07-13
023150,10227,9.5,0.71,766,3.43,250,2023-07-13
035420,151646,39.88,1.32,5007,0.46,914,2023-07-13
181710,49179,0.0,0.48,0,0.0,0,2023-07-13
005940,21824,10.81,0.44,881,7.35,700,2023-07-13
005945,0,0.0,0.0,0,8.19,750,2023-07-13
034310,21230,11.42,0.54,1012,3.55,410,2023-07-13
008260,6580,4.31,1.12,1706,1.36,100,2023-07-13
004250,9416,9.72,0.7,678,1.52,100,2023-07-13
004255,0,0.0,0.0,0,3.43,105,2023-07-13
456040,0,0.0,0.0,0,0.0,0,2023-07-13
010060,166136,3.14,0.7,36941,2.16,2500,2023-07-13
178920,11627,22.38,3.0,1557,2.24,779,2023-07-13
005490,692323,10.41,0.62,41456,2.78,12000,2023-07-13
010950,75353,3.68,0.88,18075,8.26,5500,2023-07-13
010955,0,0.0,0.0,0,11.44,5525,2023-07-13
034120,46405,3.39,0.63,8623,3.42,1000,2023-07-13
005090,48174,3.17,0.53,8093,6.63,1700,2023-07-13
001380,2695,0.0,0.49,0,0.0,0,2023-07-13
004060,1234,57.78,0.42,9,0.0,0,2023-07-13
001770,42355,2.94,0.62,8905,0.38,100,2023-07-13
002360,857,41.76,0.83,17,1.41,10,2023-07-13
009160,11050,3.62,0.45,1381,4.0,200,2023-07-13
123700,11352,14.48,0.4,316,2.19,100,2023-07-13
025530,11073,34.02,0.39,127,3.47,150,2023-07-13
034730,391404,7.55,0.38,19547,3.39,5000,2023-07-13
011790,50774,0.0,1.97,0,1.1,1100,2023-07-13
018670,260823,4.18,0.46,28644,5.43,6500,2023-07-13
001740,10311,13.87,0.53,395,2.19,120,2023-07-13
001745,0,0.0,0.0,0,2.16,145,2023-07-13
006120,153209,1.63,0.23,21631,4.82,1700,2023-07-13
006125,0,0.0,0.0,0,6.35,1750,2023-07-13
210980,31414,7.13,0.7,3084,3.64,800,2023-07-13
068400,11371,22.8,0.92,457,1.44,150,2023-07-13
302440,22683,47.56,3.35,1596,0.0,0,2023-07-13
326030,4042,0.0,18.73,0,0.0,0,2023-07-13
402340,118972,25.18,0.39,1837,0.0,0,2023-07-13
361610,30501,0.0,2.96,0,0.0,0,2023-07-13
100090,9783,41.03,2.2,524,0.0,0,2023-07-13
03473K,0,0.0,0.0,0,3.83,5050,2023-07-13
096770,233338,8.94,0.71,18511,3.53,5840,2023-07-13
096775,0,0.0,0.0,0,5.51,5890,2023-07-13
001510,1525,29.09,0.44,23,0.75,5,2023-07-13
001515,0,0.0,0.0,0,0.42,10,2023-07-13
285130,124642,6.65,0.53,9910,2.28,1500,2023-07-13
28513K,0,0.0,0.0,0,5.13,1550,2023-07-13
017670,51911,11.15,0.88,4118,7.23,3320,2023-07-13
000660,92004,35.19,1.24,3242,1.05,1200,2023-07-13
003570,29430,10.17,0.35,1027,4.79,500,2023-07-13
064960,66442,8.1,0.79,6470,3.05,1600,2023-07-13
100840,38778,10.3,0.61,2292,3.39,800,2023-07-13
036530,68239,4.49,0.23,3556,4.38,700,2023-07-13
005610,48007,10.28,1.41,6568,2.52,1700,2023-07-13
011810,1753,0.0,7.37,0,0.0,0,2023-07-13
077970,11315,0.0,1.38,0,0.0,0,2023-07-13
071970,6770,17.87,1.31,498,0.0,0,2023-07-13
002820,12936,0.0,0.22,0,0.0,0,2023-07-13
084870,2886,8.04,0.66,236,0.0,0,2023-07-13
002710,8127,41.81,6.37,1239,0.23,120,2023-07-13
069260,19290,10.46,1.16,2132,4.48,1000,2023-07-13
002900,7778,3.25,0.95,2262,4.08,300,2023-07-13
024070,7345,0.0,0.4,0,1.71,50,2023-07-13
037270,2248,31.8,2.59,183,0.0,0,2023-07-13
000500,49444,8.65,0.43,2458,0.24,50,2023-07-13
000860,92542,24.37,0.25,952,2.16,500,2023-07-13
035250,16846,30.12,1.02,570,2.04,350,2023-07-13
011420,1210,13.62,1.88,167,0.0,0,2023-07-13
002100,12997,6.78,0.78,1503,3.93,400,2023-07-13
009450,35820,14.05,1.45,3707,0.96,500,2023-07-13
267290,67007,4.91,0.3,4105,4.34,875,2023-07-13
012320,205405,13.38,0.42,6519,0.86,750,2023-07-13
000050,30304,53.67,0.31,177,1.32,125,2023-07-13
214390,6011,261.15,1.13,26,0.74,50,2023-07-13
012610,5831,14.22,0.84,345,1.02,50,2023-07-13
009140,49149,12.38,0.52,2080,1.36,350,2023-07-13
013580,84371,2.37,0.19,6828,3.09,500,2023-07-13
012200,3924,0.0,0.56,0,1.15,25,2023-07-13
012205,0,0.0,0.0,0,0.72,30,2023-07-13
002140,4286,141.07,0.92,28,0.63,25,2023-07-13
010130,455251,10.76,1.02,42967,4.32,20000,2023-07-13
002240,64024,5.89,0.3,3242,1.57,300,2023-07-13
009290,12593,11.02,0.51,588,1.54,100,2023-07-13
017040,2621,23.83,1.13,124,0.34,10,2023-07-13
017900,4514,10.45,0.64,275,1.74,50,2023-07-13
037710,99270,4.57,0.33,7157,6.73,2200,2023-07-13
030610,24572,7.47,0.21,681,3.93,200,2023-07-13
339770,7157,39.02,1.17,214,2.4,200,2023-07-13
007690,99565,6.31,0.55,8626,2.57,1400,2023-07-13
005320,1997,41.92,0.52,25,0.0,0,2023-07-13
001140,4100,0.0,1.71,0,0.0,0,2023-07-13
002720,3666,23.1,1.11,176,0.0,0,2023-07-13
083420,5251,71.63,1.68,123,2.61,230,2023-07-13
014530,5808,6.8,0.69,593,4.96,200,2023-07-13
014280,13661,3.55,0.5,1933,1.75,120,2023-07-13
014285,0,0.0,0.0,0,1.19,130,2023-07-13
008870,106871,0.0,0.8,0,1.52,1300,2023-07-13
001570,2188,0.0,43.42,0,0.0,0,2023-07-13
002990,15149,9.95,0.39,587,8.56,500,2023-07-13
002995,0,0.0,0.0,0,3.22,550,2023-07-13
011780,234861,3.31,0.52,37290,4.38,5400,2023-07-13
011785,0,0.0,0.0,0,8.46,5450,2023-07-13
214330,1749,0.0,0.51,0,0.0,0,2023-07-13
001210,890,0.0,1.22,0,0.0,0,2023-07-13
073240,3920,0.0,1.16,0,0.0,0,2023-07-13
092440,8569,11.79,0.4,291,4.37,150,2023-07-13
000270,98117,6.48,0.89,13495,4.0,3500,2023-07-13
024110,36302,3.09,0.28,3320,9.36,960,2023-07-13
013700,1753,0.0,0.98,0,1.16,20,2023-07-13
004540,6481,0.0,0.38,0,0.0,0,2023-07-13
004545,0,0.0,0.0,0,0.0,0,2023-07-13
001260,10896,5.09,0.92,1969,0.0,0,2023-07-13
008350,2376,10.76,1.08,238,0.0,0,2023-07-13
008355,0,0.0,0.0,0,0.0,0,2023-07-13
004270,3821,22.6,0.6,102,1.08,25,2023-07-13
003920,1079345,0.0,0.47,0,0.2,1000,2023-07-13
003925,0,0.0,0.0,0,0.39,1050,2023-07-13
025860,10670,8.38,0.77,986,1.21,100,2023-07-13
005720,22295,13.36,0.19,317,2.6,110,2023-07-13
005725,0,0.0,0.0,0,3.74,115,2023-07-13
002350,16520,0.0,0.5,0,1.2,100,2023-07-13
002355,0,0.0,0.0,0,3.55,105,2023-07-13
251270,66649,0.0,0.72,0,0.0,0,2023-07-13
090350,17634,14.4,0.46,564,3.39,275,2023-07-13
090355,0,0.0,0.0,0,2.24,280,2023-07-13
000320,38479,4.57,0.28,2391,4.58,500,2023-07-13
000325,0,0.0,0.0,0,2.44,505,2023-07-13
006280,116367,19.77,0.97,5735,1.54,1750,2023-07-13
005250,23095,19.01,0.6,727,2.17,300,2023-07-13
005257,0,0.0,0.0,0,1.05,300,2023-07-13
004370,398464,19.94,1.01,20081,1.25,5000,2023-07-13
072710,231914,9.22,0.29,7353,3.69,2500,2023-07-13
058730,7408,53.86,0.64,88,0.0,0,2023-07-13
030210,11357,3.57,0.32,1019,4.13,150,2023-07-13
023590,53655,2.02,0.33,8634,3.44,600,2023-07-13
145210,3499,0.0,1.68,0,0.0,0,2023-07-13
019680,5825,0.0,0.43,0,1.2,30,2023-07-13
019685,0,0.0,0.0,0,2.67,45,2023-07-13
006370,27810,0.0,0.51,0,0.35,50,2023-07-13
008060,17890,12.04,0.37,549,6.05,400,2023-07-13
00806K,0,0.0,0.0,0,4.31,405,2023-07-13
353200,17302,9.5,1.96,3570,1.18,400,2023-07-13
35320K,0,0.0,0.0,0,3.4,405,2023-07-13
000490,15973,6.22,0.71,1812,0.89,100,2023-07-13
008110,20487,5.13,0.25,1015,4.8,250,2023-07-13
005750,9514,0.0,0.42,0,2.76,110,2023-07-13
006570,5308,13.99,0.66,252,0.85,30,2023-07-13
001680,37616,7.45,0.46,2306,4.65,800,2023-07-13
001685,0,0.0,0.0,0,5.82,810,2023-07-13
084690,20315,8.38,0.36,868,3.71,270,2023-07-13
084695,0,0.0,0.0,0,3.17,280,2023-07-13
128820,16329,0.0,0.25,0,0.0,0,2023-07-13
117580,11539,0.0,0.68,0,3.19,250,2023-07-13
016710,29781,64.27,0.49,225,1.73,250,2023-07-13
003540,74528,7.6,0.18,1750,9.02,1200,2023-07-13
003547,0,0.0,0.0,0,9.7,1200,2023-07-13
003545,0,0.0,0.0,0,9.62,1250,2023-07-13
009190,3353,14.72,1.11,252,0.0,0,2023-07-13
014160,1753,9.81,0.75,134,0.0,0,2023-07-13
047040,9040,3.45,0.47,1227,0.0,0,2023-07-13
009320,539,0.0,3.21,0,0.0,0,2023-07-13
003090,19933,5.09,0.63,2467,0.8,100,2023-07-13
069620,54929,25.47,1.77,3816,0.62,600,2023-07-13
000430,7802,20.95,0.82,304,1.57,100,2023-07-13
006340,1273,66.33,0.94,18,0.0,0,2023-07-13
006345,0,0.0,0.0,0,0.0,0,2023-07-13
003220,11967,9.07,1.14,1510,2.56,350,2023-07-13
024890,1532,0.0,1.83,0,0.0,0,2023-07-13
002880,942,0.0,0.71,0,0.0,0,2023-07-13
000300,503,0.0,2.01,0,0.0,0,2023-07-13
012800,3225,30.06,0.45,48,0.0,0,2023-07-13
015230,9161,5.79,0.9,1417,2.44,200,2023-07-13
001070,37439,0.0,0.34,0,0.0,0,2023-07-13
006650,301477,0.0,0.44,0,0.75,1000,2023-07-13
001440,7000,77.22,1.99,180,0.0,0,2023-07-13
084010,38135,2.04,0.35,6605,5.78,780,2023-07-13
001790,5992,12.07,0.56,276,3.6,120,2023-07-13
001795,0,0.0,0.0,0,4.37,125,2023-07-13
001130,558185,5.26,0.23,24697,1.92,2500,2023-07-13
003490,24426,5.34,1.05,4787,2.94,750,2023-07-13
003495,0,0.0,0.0,0,2.83,800,2023-07-13
005880,4912,3.91,0.4,507,0.0,0,2023-07-13
003830,635611,3.52,0.16,29768,0.72,750,2023-07-13
016090,5480,3.8,0.4,574,5.05,110,2023-07-13
069460,1456,11.7,0.92,114,0.0,0,2023-07-13
118000,1172,0.0,0.44,0,0.0,0,2023-07-13
192080,43874,0.0,0.99,0,1.38,600,2023-07-13
012510,15301,42.83,1.89,676,0.42,123,2023-07-13
004830,5862,26.85,0.72,157,1.07,45,2023-07-13
004835,0,0.0,0.0,0,0.99,50,2023-07-13
024900,2608,18.05,3.37,487,0.0,0,2023-07-13
145720,43354,14.78,3.4,9980,0.2,300,2023-07-13
002150,7986,192.13,1.13,47,3.1,280,2023-07-13
460850,0,0.0,0.0,0,0.0,0,2023-07-13
460860,0,0.0,0.0,0,0.0,0,2023-07-13
