s_date,isin,rate
2021년 4월 5일, Welkeeps Hitech (043590),1:1.33
, 하이스틸 (071090),10:01
2021년 4월 1일, 비피도 (238200),2:01
, 우성 (006980),1:10
, 제일바이오 (052670),2:01
, 크리스탈지노믹스 (083790),1.5:1
2021년 3월 31일, 나무가 (190510),2:01
, 하이스틸 (071090),10:01
2021년 3월 30일, Panacea (058530),1:10
, 유유제약 (000220),2:01
, 유유제약1우 (000225),2:01
, 유유제약2우B (000227),2:01
, 제이브이엠 (054950),2:01
2021년 3월 29일, 올리패스 (244460),1.5:1
2021년 3월 26일, 메디콕스 (054180),1.1:1
, 브레인콘텐츠 (066980),1:10
2021년 3월 25일, 씨티케이코스메틱스 (260930),2:01
, 이엘피 (063760),2:01
2021년 3월 24일, 알테오젠 (196170),1.5:1
2021년 3월 22일, 자이에스앤디 (317400),1.074:1
, 코아시아옵틱스 (196450),1:05
, 하나기술 (299030),2:01
2021년 3월 19일, 와이투솔루션 (011690),1:02
2021년 3월 18일, 황금에스티 (032560),1.143:1
2021년 3월 17일, 이원다이애그노믹스 (245620),2:01
, 화일약품 (061250),3:01
2021년 3월 16일, TS트릴리온 (317240),1.8:1
2021년 3월 15일, HLB (028300),2:01
, Welkeeps Hitech (043590),1:1.33
, 다원시스 (068240),1.036:1
, 에이치엘비생명과학 (067630),2:01
, 화승코퍼레이션 (013520),1:1.38
2021년 3월 11일, Panacea (058530),1:10
, 지누스 (013890),1.1:1
2021년 3월 8일, 아이큐어 (175250),1.2:1
, 티에스아이 (277880),2:01
2021년 3월 5일, 브레인콘텐츠 (066980),1:10
2021년 3월 3일, 엔텔스 (069410),1.5:1
, 엠투아이 (347890),2:01
, 위세아이텍 (065370),1.5:1
2021년 3월 2일, KX (122450),2:01
, 국제약품 (002720),1.05:1
, 동구바이오제약 (006620),3:01
, 코아시아옵틱스 (196450),1:05
2021년 2월 26일, DSC인베스트먼트 (241520),1.5:1
, 멕아이씨에스 (058110),2:01
2021년 2월 25일, 화승코퍼레이션 (013520),1:1.38
2021년 2월 24일, 동양에스텍 (060380),2:01
2021년 2월 18일, 대원제약 (003220),1.05:1
2021년 2월 17일, 에브리봇 (270660),4:01
2021년 2월 16일, 푸른기술 (094940),1.3:1
2021년 2월 9일, 에이에프더블류 (312610),2:01
2021년 2월 8일, 씨에스윈드 (112610),2:01
2021년 2월 1일, 셀리버리 (268600),2:01
, 풍산홀딩스 (005810),1.5:1
2021년 1월 29일, Welkeeps Hitech (043590),1:1.25
, 아우딘퓨쳐스 (227610),2.014:1
2021년 1월 28일, 카페24 (042000),2:01
2021년 1월 27일, KH 필룩스 (033180),1.078:1
2021년 1월 26일, 롯데리츠 (330590),1.027:1
2021년 1월 25일, DL (000210),1:2.25
, DL우 (000215),1:2.25
, ES큐브 (050120),1:10
, 대한항공 (003490),1.29:1
, 대한항공우 (003495),1.29:1
, 유니테크노 (241690),2:01
2021년 1월 22일, 인성정보 (033230),1.2:1
2021년 1월 19일, 제넨바이오 (072520),1.5:1
2021년 1월 18일, 한화솔루션 (009830),1.032:1
, 한화케미칼우 (009835),1.032:1
, 홈센타홀딩스 (060560),1.128:1
2021년 1월 15일, 아시아나항공 (020560),1:03
, 와이투솔루션 (011690),1:02
2021년 1월 14일, 멕아이씨에스 (058110),1.035:1
2021년 1월 13일, 넥스틴 (348210),3:01
2021년 1월 12일, S D (260970),10:01
2021년 1월 7일, ES큐브 (050120),1:10
, 선바이오 (067370),1.5:1
, 오킨스전자 (080580),2:01
, 이지바이오 (353810),5:01
2021년 1월 5일, 일진디스플 (020760),1.067:1
2021년 1월 1일, DL (000210),1:2.25
, DL우 (000215),1:2.25
2020년 12월 30일, 박셀바이오 (323990),2:01
2020년 12월 29일, DI동일 (001530),1.025:1
, JW Pharmaceutical (001067),1.03:1
, JW Pharmaceutical (001065),1.03:1
, JW신약 (067290),1.05:1
, JW중외제약 (001060),1.03:1
, JW홀딩스 (096760),1.03:1
, NHN한국사이버결제 (060250),1.07:1
, TCC스틸 (002710),1.022:1
, 가온미디어 (078890),1.02:1
, 고려제강 (002240),1.15:1
, 나스미디어 (089600),1.1:1
, 노바텍 (285490),2:01
, 도이치모터스 (067990),1.02:1
, 동운아나텍 (094170),1.1:1
, 동일고무벨트 (163560),1.018:1
, 동일기연 (032960),1.03:1
, 리노스 (039980),1.05:1
, 메디톡스 (086900),1.05:1
, 보령 (003850),1.1:1
, 부광약품 (003000),1.1:1
, 비나텍 (126340),1.05:1
, 서린바이오 (038070),1.039:1
, 서부T&D (006730),1.02:1
, 성우테크론 (045300),1.02:1
, 셀트리온 (068270),1.02:1
, 셀트리온제약 (068760),1.02:1
, 셀트리온헬스케어 (091990),1.02:1
, 시큐브 (131090),1.054:1
, 신일제약 (012790),1.03:1
, 아이원스 (114810),2:01
, 알리코제약 (260660),1.05:1
, 에이리츠 (140910),1.112:1
, 에이치시티 (072990),1.01:1
, 에이치엘사이언스 (239610),1.05:1
, 에코프로 (086520),1.02:1
, 엑시콘 (092870),1.01:1
, 오파스넷 (173130),3:01
, 원림 (005820),1.05:1
, 위즈코프 (038620),1.05:1
, 유한양행 (000100),1.05:1
, 유한양행우 (000105),1.05:1
, 이녹스첨단소재 (272290),1.03:1
, 이연제약 (102460),1.02:1
, 이테크건설 (016250),1.3:1
, 인터로조 (119610),1.03:1
, 조이시티 (067000),3:01
, 종근당 (185750),1.05:1
, 케이엠 (083550),1.05:1
, 코맥스 (036690),1.02:1
, 코윈테크 (282880),1.025:1
, 한미사이언스 (008930),1.02:1
, 한미약품 (128940),1.02:1
, 휴온스 (084110),1.05:1
, 휴온스 (243070),1.1:1
2020년 12월 24일, 아시아나항공 (020560),1:03
2020년 12월 22일, 씨에스윈드 (112610),1.054:1
2020년 12월 21일, 이지바이오 (353810),5:01
2020년 12월 14일, Welkeeps Hitech (043590),1:1.25
2020년 12월 9일, 한일홀딩스 (003300),5:01
2020년 12월 8일, 이테크건설 (016250),1:1.77
, 인성정보 (033230),1.086:1
, 포스코퓨처엠 (003670),1.065:1
2020년 12월 7일, 대창단조 (015230),5:01
, 세동 (053060),1:02
2020년 12월 4일, 유비쿼스 (264450),2:01
2020년 12월 3일,  올릭스 (226950),2:01
, 체시스 (033250),1.083:1
2020년 11월 24일, 고려포리머 (009810),1:1.62
, 루켄테크놀러지스 (162120),3:01
2020년 11월 19일, 위메이드맥스 (101730),1.129:1
2020년 11월 18일, 대창단조 (015230),5:01
2020년 11월 17일, 에스트래픽 (234300),1.2:1
2020년 11월 13일, 에스퓨얼셀 (288620),1.026:1
, 티웨이항공 (091810),1.2:1
, 펩트론 (087010),1.052:1
, 헬릭스미스 (084990),1.065:1
2020년 11월 12일, 에치에프알 (230240),1.009:1
, 유바이오로직스 (206650),1.038:1
2020년 11월 11일, 이지바이오 (353810),3:01
2020년 11월 10일, 맥쿼리인프라 (088980),1.002:1
2020년 11월 5일, 렌딩머신 (179720),1:20
, 아센디오 (012170),1:10
2020년 11월 3일, 드림텍 (192650),1.013:1
2020년 10월 30일, 디에이테크놀로지 (196490),1:05
, 세진중공업 (075580),1.5:1
2020년 10월 29일, 시스웍 (269620),3:01
2020년 10월 28일, 디엔에이링크 (127120),1.033:1
, 베노홀딩스 (206400),1:05
, 에이엔피 (015260),1.049:1
2020년 10월 27일, 두산퓨얼셀 (336260),1.019:1
, 두산퓨얼셀1우 (33626K),1.019:1
, 비츠로시스 (054220),1:02
2020년 10월 26일, 그린플러스 (186230),2:01
2020년 10월 23일, CNT85 (056730),1:18
, Human N (032860),1:10
, 고려포리머 (009810),1:02
2020년 10월 22일, 에스와이 (109610),1.15:1
2020년 10월 20일, 렌딩머신 (179720),1:20
, 에어부산 (298690),1.115:1
2020년 10월 19일, 전진바이오팜 (110020),1.085:1
, 티로보틱스 (117730),2:01
2020년 10월 16일, 케이엠제약 (225430),1.05:1
2020년 10월 15일, 두산에너빌리티 (034020),1.089:1
2020년 10월 13일, 아센디오 (012170),1:1.15
2020년 10월 12일, 디에이테크놀로지 (196490),1:05
, 엘앤씨바이오 (290650),3:01
2020년 10월 7일, KD건설 (044180),1:05
2020년 10월 6일, 대한해운 (005880),10:01
, 에이엔피 (015260),1:07
2020년 10월 5일, 인콘 (083640),1:2.5
2020년 9월 29일, 네오펙트 (290660),1.145:1
, 에스트래픽 (234300),1.101:1
2020년 9월 28일, Human N (032860),1:10
, 비엘 (142760),1.145:1
, 팬엔터테인먼트 (068050),2:01
2020년 9월 24일, 코센 (009730),1:05
2020년 9월 23일, CNT85 (056730),1:03
, 엠플러스 (259630),2:01
2020년 9월 22일, 브릿지바이오테라퓨틱스 (288330),3:01
, 태영건설 (009410),1:1.96
, 태영건설우 (009415),1:1.96
2020년 9월 21일, 지나인제약 (078650),1.157:1
2020년 9월 18일, 한진 (002320),1.05:1
2020년 9월 16일, 우리종금 (010050),1.017:1
2020년 9월 15일, 두산테스나 (131970),2:01
, 진에어 (272450),1.112:1
2020년 9월 14일, 아진엑스텍 (059120),1.5:1
2020년 9월 11일, KD건설 (044180),1:05
2020년 9월 10일, 동국제약 (086450),5:01
2020년 9월 9일, 인콘 (083640),1:2.5
2020년 9월 4일, CNT85 (056730),1:06
, 시큐센 (232830),5:01
, 코센 (009730),1:05
2020년 9월 3일, 메디톡스 (086900),1.055:1
2020년 9월 2일, 다이나믹디자인 (145210),1.344:1
, 정다운 (208140),1.16:1
2020년 9월 1일, 아리온 (058220),1:30
2020년 8월 24일, 동국제약 (086450),5:01
2020년 8월 21일, 비비안 (002070),1:4.19
2020년 8월 20일, 에코마케팅 (230360),2:01
2020년 8월 19일, 엘브이엠씨 (900140),1.182:1
2020년 8월 18일, 웨이브일렉트로 (095270),1.091:1
2020년 8월 13일, 마니커 (027740),1.062:1
, 현대이지웰 (090850),2:01
2020년 8월 7일, 한창 (005110),1.276:1
2020년 8월 6일, 솔브레인홀딩스 (036830),1:1.81
2020년 8월 4일, 퓨쳐켐 (220100),1.2:1
2020년 8월 3일, 비비안 (002070),1:05
, 케이엔더블유 (105330),1.222:1
2020년 7월 30일, 와이엠티 (251370),2:01
, 한국유니온제약 (080720),1.082:1
2020년 7월 24일, 에이원알폼 (234070),1:01
2020년 7월 23일, 금호에이치티 (214330),3:01
, 알테오젠 (196170),2:01
2020년 7월 21일, 커머스마이너 (223310),1:20
, 프로테옴텍 (303360),2:01
2020년 7월 20일, 얼라인드 (238120),2:01
, 크루셜텍 (114120),1.123:1
2020년 7월 17일, 유틸렉스 (263050),2:01
2020년 7월 16일, 앱클론 (174900),2:01
, 케어랩스 (263700),2:01
2020년 7월 15일, 비츠로시스 (054220),1:69.98
2020년 7월 8일, 대림제지 (017650),1:05
, 휴젤 (145020),3:01
2020년 7월 6일, 엘앤에프 (066970),1.037:1
2020년 7월 3일, 쌍방울 (102280),1.186:1
, 큐로 (015590),1.4:1
, 크루셜텍 (114120),1:06
2020년 7월 2일, 마이크로디지탈 (305090),2:01
, 미래산업 (025560),1:50
, 현대엘리베이 (017800),1.5:1
2020년 7월 1일, 솔브레인홀딩스 (036830),1:1.81
2020년 6월 30일, 파멥신 (208340),2:01
, 포시에스 (189690),1.05:1
2020년 6월 29일, 씨씨에스 (066790),1:02
, 에스제이그룹 (306040),3:01
, 초록뱀미디어 (047820),1.048:1
2020년 6월 26일, 커머스마이너 (223310),1:20
2020년 6월 25일, 제테마 (216080),2:01
2020년 6월 24일, 오스테오닉 (226400),1.5:1
, 이수화학 (005950),1.104:1
, 힘스 (238490),2:01
2020년 6월 23일, 제주항공 (089590),1.097:1
, 티웨이항공 (091810),1.134:1
, 퓨쳐켐 (220100),1.14:1
2020년 6월 17일, 대림제지 (017650),1:05
, 크루셜텍 (114120),1:06
2020년 6월 16일, CJ CGV (079160),1.102:1
, 레고켐바이오 (141080),2:01
, 세하 (027970),1.177:1
2020년 6월 12일, 미래산업 (025560),1:50
2020년 6월 9일, 엔시트론 (101400),1:05
2020년 6월 8일, 씨씨에스 (066790),1:02
2020년 6월 5일, HLB (028300),1.1:1
, 대한항공 (003490),1.196:1
, 대한항공우 (003495),1.196:1
, 이지홀딩스 (035810),1:1.04
2020년 6월 3일, 디모아 (016670),1.241:1
, 에이디테크놀로지 (200710),1.09:1
2020년 6월 1일, 에이프로젠제약 (003060),1.053:1
2020년 5월 29일, 비디아이 (148140),1.5:1
, 에이루트 (096690),1:05
2020년 5월 27일, 비츠로시스 (054220),1:35
2020년 5월 21일, 대덕 (008060),1:2.73
, 엔시트론 (101400),1:05
2020년 5월 20일, 진원생명과학 (011000),1.094:1
, 케이피에스 (256940),3:01
, 플레이위드 (023770),2:01
2020년 5월 19일, 솔고바이오 (043100),1:2.8
2020년 5월 18일, 웅진씽크빅 (095720),1:1.14
2020년 5월 14일, 명문제약 (017180),1.071:1
2020년 5월 13일, 메드팩토 (235980),2:01
, 키이스트 (054780),1:05
2020년 5월 11일, 비츠로시스 (054220),1:02
2020년 5월 7일, 주연테크 (044380),1:02
2020년 5월 1일, 대덕 (008060),1:2.73
2020년 4월 29일, 에이루트 (096690),1:10
2020년 4월 28일, 솔고바이오 (043100),1:2.8
2020년 4월 23일, 키이스트 (054780),1:05
2020년 4월 22일, 헬릭스미스 (084990),1.25:1
2020년 4월 17일, HLB (028300),1.026:1
, 아이윈플러스 (123010),5:01
2020년 4월 10일, 어반리튬 (073570),5:01
, 주연테크 (044380),1:02
2020년 4월 9일, 유화증권 (003460),5:01
, 유화증권우 (003465),5:01
2020년 4월 8일, 신한알파리츠 (293940),1.006:1
2020년 4월 6일, 칩스앤미디어 (094360),1.3:1
2020년 4월 3일, 유한양행 (000100),5:01
, 유한양행우 (000105),5:01
2020년 4월 1일, 아이윈플러스 (123010),5:01
2020년 3월 24일, 페이퍼코리아 (001020),1:03
2020년 3월 20일, 씨아이테크 (004920),1:03
2020년 3월 19일, 심텍 (222800),1.051:1
2020년 3월 12일, 휴벡셀 (212310),0.180555556
2020년 3월 5일, 아센디오 (012170),1:10
, 일동제약 (249420),1.05:1
, 일동홀딩스 (000230),1.05:1
2020년 3월 4일, 페이퍼코리아 (001020),1:03
2020년 3월 3일, 이씨에스 (067010),2:01
2020년 3월 2일, 모바일어플라이언스 (087260),2:01
, 비케이탑스 (030790),1:25
, 씨아이테크 (004920),1:03
2020년 2월 27일, 알비케이그룹 (215790),1.238:1
2020년 2월 21일, 오리엔트바이오 (002630),1:2.25
, 제노레이 (122310),3:01
2020년 2월 19일, KR모터스 (000040),1:3.24
2020년 2월 17일, EnterPartners (058450),1.103:1
, 대원제약 (003220),1.03:1
2020년 2월 14일, 나무가 (190510),2:01
2020년 2월 12일, 비케이탑스 (030790),1:25
2020년 2월 5일, 오리엔트바이오 (002630),1:2.25
2020년 2월 4일, KR모터스 (000040),1:04
2020년 2월 3일, 비비안 (002070),10:01
2020년 1월 31일, HDC현대산업개발 (294870),1.143:1
, 에스엘바이오닉스 (214310),1:05
2020년 1월 21일, KCC (002380),1:1.19
, 키네마스터 (139670),2:01
2020년 1월 17일, 아이톡시 (052770),1:17.33
2020년 1월 16일, 뿌리깊은나무들 (266170),2:01
2020년 1월 14일, 모트렉스 (118990),1.028:1
2020년 1월 13일, 셀젠텍 (258250),1.005:1
2020년 1월 10일, 에스엘바이오닉스 (214310),1:05
2020년 1월 2일, 위지윅스튜디오 (299900),3:01
2020년 1월 1일, KCC (002380),1:1.19
2019년 12월 27일, DI동일 (001530),1.025:1
, JW Pharmaceutical (001065),1.03:1
, JW Pharmaceutical (001067),1.03:1
, JW중외제약 (001060),1.03:1
, JW홀딩스 (096760),1.03:1
, SK가스 (018670),1.01:1
, TCC스틸 (002710),1.031:1
, 가온미디어 (078890),1.02:1
, 동일고무벨트 (163560),1.022:1
, 동일기연 (032960),1.04:1
, 디바이스이엔지 (187870),1.04:1
, 라이온켐텍 (171120),1.1:1
, 리노스 (039980),1.05:1
, 메디톡스 (086900),1.03:1
, 미래에셋벤처투자 (100790),1.5:1
, 미래컴퍼니 (049950),1.03:1
, 부광약품 (003000),1.05:1
, 비씨월드제약 (200780),1.1:1
, 삼영무역 (002810),1.05:1
, 서린바이오 (038070),1.069:1
, 서부T&D (006730),1.05:1
, 성우테크론 (045300),1.02:1
, 셀트리온 (068270),1.05:1
, 셀트리온제약 (068760),1.05:1
, 셀트리온헬스케어 (091990),1.05:1
, 시큐브 (131090),1.057:1
, 신일제약 (012790),1.4:1
, 에이리츠 (140910),1.032:1
, 에이치시티 (072990),1.008:1
, 엘오티베큠 (083310),1.02:1
, 유한양행 (000100),1.05:1
, 유한양행우 (000105),1.05:1
, 이노메트리 (302430),2:01
, 이녹스첨단소재 (272290),1.03:1
, 인터로조 (119610),1.03:1
, 종근당 (185750),1.05:1
, 종근당바이오 (063160),1.05:1
, 케이엠 (083550),1.015:1
, 케이탑리츠 (145270),1.025:1
, 코맥스 (036690),1.03:1
, 코아시아 (045970),1.04:1
, 코윈테크 (282880),1.015:1
, 한국자산신탁 (123890),1.1:1
, 한미사이언스 (008930),1.02:1
, 한미약품 (128940),1.02:1
, 휴온스 (084110),1.05:1
, 휴온스 (243070),1.1:1
2019년 12월 26일, 오이솔루션 (138080),1.25:1
2019년 12월 24일, 광무 (029480),1:01
2019년 12월 19일, 골드앤에스 (035290),1:10
2019년 12월 16일, 휴벡셀 (212310),1:02
2019년 12월 13일, 한국맥널티 (222980),2:01
2019년 12월 10일, 뉴파워프라즈마 (144960),5:01
, 진원생명과학 (011000),1.13:1
2019년 12월 6일, 경동도시가스 (267290),1.25:1
, 에스알바이오텍 (270210),1.137:1
2019년 12월 5일, 지엘팜텍 (204840),1.063:1
2019년 12월 4일, 골드앤에스 (035290),1:10
2019년 12월 3일, 그린케미칼 (083420),1.204:1
2019년 12월 2일, 세경하이테크 (148150),2:01
2019년 11월 25일, Hysonic (106080),1:22.2
, 뉴파워프라즈마 (144960),5:01
2019년 11월 18일, 모베이스전자 (012860),1.174:1
2019년 11월 13일, 아이톡시 (052770),1:13
2019년 11월 12일, 미래산업 (025560),1.078:1
2019년 11월 11일, 오이솔루션 (138080),1.023:1
2019년 11월 6일, HD현대일렉트릭 (267260),1.195:1
, 대보마그네틱 (290670),2:01
2019년 11월 4일, 아리온 (058220),1:2.5
2019년 11월 1일, 삼보산업 (009620),1.102:1
, 에이디칩스 (054630),1.192:1
, 코스모화학 (005420),1.179:1
2019년 10월 25일, Hysonic (106080),1:7.4
2019년 10월 22일, 상신전자 (263810),1.5:1
, 코드네이처 (078940),1:02
2019년 10월 21일, 지란지교시큐리티 (208350),1:05
, 코스나인 (082660),1.155:1
2019년 10월 18일, 두산 (000150),1:1.1
, 두산2우B (000157),1:1.1
, 두산우 (000155),1:1.1
, 흥국에프엔비 (189980),5:01
2019년 10월 15일, TechL (064520),1:10
2019년 10월 10일, 아리온 (058220),1:2.5
2019년 10월 8일, Hysonic (106080),1:03
, 뉴인텍 (012340),1:2.82
2019년 10월 7일, 골든센츄리 (900280),1.15:1
, 아이톡시 (052770),1:1.33
2019년 10월 4일, 에스엠비나 (299670),5:01
2019년 10월 1일, 두산 (000150),1:1.1
, 좋은사람들 (033340),1.195:1
, 한국캐피탈 (023760),1.121:1
2019년 9월 30일, 녹십자엠에스 (142280),1.216:1
, 드림시큐리티 (203650),1.066:1
, 에스엠비나 (299670),5:01
, 에이디칩스 (054630),1.161:1
2019년 9월 27일, 에스티오 (098660),1.5:1
, 코드네이처 (078940),1:02
, 흥국에프엔비 (189980),5:01
2019년 9월 26일, TechL (064520),1:10
, 지란지교시큐리티 (208350),1:05
2019년 9월 23일, 원익피앤이 (217820),2:01
2019년 9월 20일, 뉴인텍 (012340),1:03
2019년 9월 19일, KG스틸 (016380),1:03
2019년 9월 18일, 대창단조 (015230),1.45:1
2019년 9월 17일, TYM (002900),1.208:1
, 코스모신소재 (005070),1.105:1
2019년 9월 11일, 진로발효 (018120),1:1.14
2019년 9월 6일, Equipments Cell (160600),2:01
2019년 9월 3일, 로지스몬 (223220),5:01
2019년 8월 29일, KG스틸 (016380),1:03
2019년 8월 28일, 콤텍시스템 (031820),1.109:1
2019년 8월 27일, 지티지웰니스 (219750),2:01
2019년 8월 23일, LAT (311060),2:01
2019년 8월 19일, 로지스몬 (223220),5:01
, 코스나인 (082660),1:05
2019년 8월 13일, 헬릭스미스 (084990),1.25:1
2019년 8월 9일, 코이즈 (121850),1.1:1
2019년 8월 7일, SG (255220),3:01
2019년 8월 2일, 콘텐트리중앙 (036420),1:10
2019년 8월 1일, 그리티 (204020),2:01
2019년 7월 30일, 우정바이오 (215380),2:01
, 펌텍코리아 (251970),6.586:1
2019년 7월 29일, 로지스몬 (223220),1:10
, 코스나인 (082660),1:05
2019년 7월 25일, KD건설 (044180),1:05
2019년 7월 22일, 손오공 (066910),1.047:1
, 씨큐브 (101240),1.3:1
2019년 7월 19일, 엘리비젼 (276240),2:01
, 우정바이오 (215380),1:05
2019년 7월 18일, 네이처셀 (007390),1.047:1
, 콘텐트리중앙 (036420),1:10
2019년 7월 15일, TechL (064520),1:05
, 덕우전자 (263600),2:01
2019년 7월 12일, 크로넥스 (215570),3:01
2019년 7월 11일, 코미팜 (041960),1.1:1
2019년 7월 5일, 프로텍 (053610),1.07:1
2019년 7월 4일, 디아이씨 (092200),1.153:1
, 상상인 (038540),1.206:1
, 앤씨앤 (092600),1.131:1
2019년 7월 3일, 상보 (027580),1.113:1
2019년 7월 1일, 자연과환경 (043910),1.124:1
, 코이즈 (121850),1.077:1
2019년 6월 28일, 푸드웰 (005670),1.25:1
, 헬릭스미스 (084990),1.019:1
, 휴네시온 (290270),2:01
2019년 6월 27일, TechL (064520),1:05
, 일진다이아 (081000),1.036:1
, 평화산업 (090080),1.11:1
, 포시에스 (189690),1.05:1
2019년 6월 24일, 흥아해운 (003280),1:1.98
2019년 6월 19일, 씨앤에스링크 (245450),1.519:1
, 에이프로젠제약 (003060),1.211:1
2019년 6월 13일, CMG제약 (058820),1.049:1
2019년 6월 5일, 로스웰 (900260),1.125:1
, 엑트로 (290740),2:01
2019년 6월 4일, 브이원텍 (251630),2:01
, 흥아해운 (003280),1:2.13
2019년 5월 30일, 썸에이지 (208640),1.073:1
2019년 5월 28일, SV인베스트먼트 (289080),2:01
2019년 5월 24일, 한솔테크닉스 (004710),1.086:1
2019년 5월 23일, 인콘 (083640),1:02
2019년 5월 21일, HJ중공업 (097230),1:05
2019년 5월 20일, SGA (049470),1:02
, 삼보산업 (009620),5:01
2019년 5월 17일, 미래아이앤지 (007120),1.25:1
, 에이루트 (096690),1:10
, 에치에프알 (230240),1:05
2019년 5월 16일, 유니포인트 (121060),10:01
2019년 5월 15일, 베뉴지 (019010),10:01
, 화천기계 (010660),10:01
2019년 5월 14일, 국동 (005320),1.175:1
, 드림텍 (192650),2:01
, 한솔홀딩스 (004150),1.02:1
2019년 5월 10일, 케이엠더블유 (032500),2:01
, 피에스케이 (031980),1:3.65
2019년 5월 8일, 대동금속 (020400),5:01
2019년 5월 7일, 금강공업 (014280),5:01
, 금강공업우 (014285),5:01
, 쿠쿠홈시스 (284740),5:01
